power;MOD
abmat;MOD
abmats;MOD
air;MOD
assisted;MOD
back;MOD
ball;MOD
balls;MOD
banded;MOD
bar;MOD
barbell;MOD
bear;MOD
bench;MOD
box;MOD
complex;MOD
complexes;MOD
double;MOD
dumbbell;MOD
dumbbells;MOD
dumbell;MOD
dumbells;MOD
farmer;MOD
farmers;MOD
front;MOD
full;MOD
handstand;MOD
hang;MOD
heavy;MOD
jumping;MOD
kettlebell;MOD
kettlebells;MOD
kip;MOD
kipping;MOD
legged;MOD
modified;MOD
muscle;MOD
overhead;MOD
partial;MOD
pause;MOD
reverse;MOD
ring;MOD
rings;MOD
rope;MOD
short;MOD
shuttle;MOD
single;MOD
sit;MOD
split;MOD
splits;MOD
strict;MOD
triple;MOD
wall;MOD
weighted;MOD
lateral;MOD
upright;MOD
inverted;MOD
sumo;MOD
walking;MOD
l;MOD
v;MOD
deficit;MOD
legless;MOD
alternate;MOD
alternating;MOD
backward;MOD
backwards;MOD
high;MOD
low;MOD
kb;MOD
sandbag;MOD
bag;MOD
stone;MOD
atlas;MOD
position;MOD
unbroken;MOD
plate;MOD
ghd;MOD
